"","id","firstname","surname","born","died","bornCountry","bornCountryCode","bornCity","diedCountry","diedCountryCode","diedCity","gender","year","category","overallMotivation","share","motivation","name","city","country"
"323",307,"Charles Robert","Richet","1850-08-26","1935-12-04","France","FR","Paris","France","FR","Paris","male",1913,"medicine","",1,"""in recognition of his work on anaphylaxis""","Sorbonne University","Paris","France"
"324",308,"Robert","Bárány","1876-04-22","1936-04-08","Austria","AT","Vienna","Sweden","SE","Uppsala","male",1914,"medicine","",1,"""for his work on the physiology and pathology of the vestibular apparatus""","Vienna University","Vienna","Austria"
"325",309,"Jules","Bordet","1870-06-13","1961-04-06","Belgium","BE","Soignies","Belgium","BE","Brussels","male",1919,"medicine","",1,"""for his discoveries relating to immunity""","Brussels University","Brussels","Belgium"
"326",310,"Schack August Steenberg","Krogh","1874-11-15","1949-09-13","Denmark","DK","Grenå","Denmark","DK","Copenhagen","male",1920,"medicine","",1,"""for his discovery of the capillary motor regulating mechanism""","Copenhagen University","Copenhagen","Denmark"
"327",311,"Archibald Vivian","Hill","1886-09-26","1977-06-03","United Kingdom","UK","Bristol","United Kingdom","UK","Cambridge","male",1922,"medicine","",2,"""for his discovery relating to the production of heat in the muscle""","London University","London","United Kingdom"
"328",312,"Otto Fritz","Meyerhof","1884-04-12","1951-10-06","Germany","DE","Hanover","USA","US","Philadelphia, PA","male",1922,"medicine","",2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""","Kiel University","Kiel","Germany"
"329",313,"Frederick Grant","Banting","1891-11-14","1941-02-21","Canada","CA","Alliston","Canada","CA","Newfoundland","male",1923,"medicine","",2,"""for the discovery of insulin""","University of Toronto","Toronto","Canada"
"330",314,"John James Rickard","Macleod","1876-09-06","1935-03-16","Scotland","GB","Cluny","Scotland","GB","Aberdeen","male",1923,"medicine","",2,"""for the discovery of insulin""","University of Toronto","Toronto","Canada"
"331",315,"Willem","Einthoven","1860-05-21","1927-09-29","Java, Dutch East Indies (now Indonesia)","ID","Semarang","the Netherlands","NL","Leiden","male",1924,"medicine","",1,"""for his discovery of the mechanism of the electrocardiogram""","Leiden University","Leiden","the Netherlands"
"332",316,"Johannes Andreas Grib","Fibiger","1867-04-23","1928-01-30","Denmark","DK","Silkeborg","Denmark","DK","Copenhagen","male",1926,"medicine","",1,"""for his discovery of the Spiroptera carcinoma""","Copenhagen University","Copenhagen","Denmark"
"333",317,"Julius","Wagner-Jauregg","1857-03-07","1940-09-27","Austria","AT","Wels","Austria","AT","Vienna","male",1927,"medicine","",1,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""","Vienna University","Vienna","Austria"
"334",318,"Charles Jules Henri","Nicolle","1866-09-21","1936-02-28","France","FR","Rouen","Tunisia","TN","Tunis","male",1928,"medicine","",1,"""for his work on typhus""","Institut Pasteur","Tunis",""
"335",319,"Christiaan","Eijkman","1858-08-11","1930-11-05","the Netherlands","NL","Nijkerk","the Netherlands","NL","Utrecht","male",1929,"medicine","",2,"""for his discovery of the antineuritic vitamin""","Utrecht University","Utrecht","the Netherlands"
"336",320,"Sir Frederick Gowland","Hopkins","1861-06-20","1947-05-16","United Kingdom","UK","Eastbourne","United Kingdom","UK","Cambridge","male",1929,"medicine","",2,"""for his discovery of the growth-stimulating vitamins""","University of Cambridge","Cambridge","United Kingdom"
"337",321,"Karl","Landsteiner","1868-06-14","1943-06-26","Austrian Empire (now Austria)","AT","Vienna","USA","US","New York, NY","male",1930,"medicine","",1,"""for his discovery of human blood groups""","Rockefeller Institute for Medical Research","New York, NY","USA"
"338",322,"Otto Heinrich","Warburg","1883-10-08","1970-08-01","Germany","DE","Freiburg im Breisgau","West Germany (now Germany)","","West Berlin","male",1931,"medicine","",1,"""for his discovery of the nature and mode of action of the respiratory enzyme""","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie","Berlin-Dahlem","Germany"
"339",323,"Sir Charles Scott","Sherrington","1857-11-27","1952-03-04","United Kingdom","UK","London","United Kingdom","UK","Eastbourne","male",1932,"medicine","",2,"""for their discoveries regarding the functions of neurons""","University of Oxford","Oxford","United Kingdom"
"340",324,"Edgar Douglas","Adrian","1889-11-30","1977-08-08","United Kingdom","UK","London","United Kingdom","UK","Cambridge","male",1932,"medicine","",2,"""for their discoveries regarding the functions of neurons""","University of Cambridge","Cambridge","United Kingdom"
"341",325,"Thomas Hunt","Morgan","1866-09-25","1945-12-04","USA","US","Lexington, KY","USA","US","Pasadena, CA","male",1933,"medicine","",1,"""for his discoveries concerning the role played by the chromosome in heredity""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"342",326,"George Hoyt","Whipple","1878-08-28","1976-02-01","USA","US","Ashland, NH","USA","US","Rochester, NY","male",1934,"medicine","",3,"""for their discoveries concerning liver therapy in cases of anaemia""","University of Rochester","Rochester, NY","USA"
"343",327,"George Richards","Minot","1885-12-02","1950-02-25","USA","US","Boston, MA","USA","US","Brookline, MA","male",1934,"medicine","",3,"""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge, MA","USA"
"344",328,"William Parry","Murphy","1892-02-06","1987-10-09","USA","US","Stoughton, WI","USA","US","Brookline, MA","male",1934,"medicine","",3,"""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge, MA","USA"
"345",328,"William Parry","Murphy","1892-02-06","1987-10-09","USA","US","Stoughton, WI","USA","US","Brookline, MA","male",1934,"medicine","",3,"""for their discoveries concerning liver therapy in cases of anaemia""","Peter Brent Brigham Hospital","Boston, MA","USA"
"346",329,"Hans","Spemann","1869-06-27","1941-09-12","W&uuml;rttemberg (now Germany)","","Stuttgart","Germany","DE","Freiburg im Breisgau","male",1935,"medicine","",1,"""for his discovery of the organizer effect in embryonic development""","University of Freiburg im Breisgau","Breisgau","Germany"
"347",330,"Sir Henry Hallett","Dale","1875-06-09","1968-07-23","United Kingdom","UK","London","United Kingdom","UK","Cambridge","male",1936,"medicine","",2,"""for their discoveries relating to chemical transmission of nerve impulses""","National Institute for Medical Research","London","United Kingdom"
"348",331,"Otto","Loewi","1873-06-03","1961-12-25","Germany","DE","Frankfurt-on-the-Main","USA","US","New York, NY","male",1936,"medicine","",2,"""for their discoveries relating to chemical transmission of nerve impulses""","Graz University","Graz","Austria"
"349",332,"Albert","von Szent-Györgyi Nagyrápolt","1893-09-16","1986-10-22","Austria-Hungary (now Hungary)","HU","Budapest","USA","US","Woods Hole, MA","male",1937,"medicine","",1,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""","Szeged University","Szeged","Hungary"
"350",333,"Corneille Jean François","Heymans","1892-03-28","1968-07-18","Belgium","BE","Ghent","Belgium","BE","Knokke","male",1938,"medicine","",1,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""","Ghent University","Ghent","Belgium"
"351",334,"Gerhard","Domagk","1895-10-30","1964-04-24","Germany (now Poland)","PL","Lagow","West Germany (now Germany)","","Burgberg","male",1939,"medicine","",1,"""for the discovery of the antibacterial effects of prontosil""","Munster University","Munster","Germany"
"352",335,"Henrik Carl Peter","Dam","1895-02-21","1976-04-17","Denmark","DK","Copenhagen","Denmark","DK","Copenhagen","male",1943,"medicine","",2,"""for his discovery of vitamin K""","Polytechnic Institute","Copenhagen","Denmark"
"353",336,"Edward Adelbert","Doisy","1893-11-13","1986-10-23","USA","US","Hume, IL","USA","US","St. Louis, MO","male",1943,"medicine","",2,"""for his discovery of the chemical nature of vitamin K""","Saint Louis University","St. Louis, MO","USA"
"354",337,"Joseph","Erlanger","1874-01-05","1965-12-05","USA","US","San Francisco, CA","USA","US","St. Louis, MO","male",1944,"medicine","",2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""","Washington University","St. Louis, MO","USA"
"355",338,"Herbert Spencer","Gasser","1888-07-05","1963-05-11","USA","US","Platteville, WI","USA","US","New York, NY","male",1944,"medicine","",2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""","Rockefeller Institute for Medical Research","New York, NY","USA"
"356",339,"Sir Alexander","Fleming","1881-08-06","1955-03-11","Scotland","GB","Lochfield","United Kingdom","UK","London","male",1945,"medicine","",3,"""for the discovery of penicillin and its curative effect in various infectious diseases""","London University","London","United Kingdom"
"357",340,"Ernst Boris","Chain","1906-06-19","1979-08-12","Germany","DE","Berlin","Ireland","IE","Mulrany","male",1945,"medicine","",3,"""for the discovery of penicillin and its curative effect in various infectious diseases""","University of Oxford","Oxford","United Kingdom"
"358",341,"Sir Howard Walter","Florey","1898-09-24","1968-02-21","Australia","AU","Adelaide","United Kingdom","UK","Oxford","male",1945,"medicine","",3,"""for the discovery of penicillin and its curative effect in various infectious diseases""","University of Oxford","Oxford","United Kingdom"
"359",342,"Hermann Joseph","Muller","1890-12-21","1967-04-05","USA","US","New York, NY","","","","male",1946,"medicine","",1,"""for the discovery of the production of mutations by means of X-ray irradiation""","Indiana University","Bloomington, IN","USA"
"360",343,"Carl Ferdinand","Cori","1896-12-05","1984-10-20","Austria-Hungary (now Czech Republic)","CZ","Prague","USA","US","Cambridge, MA","male",1947,"medicine","",4,"""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis, MO","USA"
"361",344,"Gerty Theresa","Cori, née Radnitz","1896-08-15","1957-10-26","Austria-Hungary (now Czech Republic)","CZ","Prague","USA","US","St. Louis, MO","female",1947,"medicine","",4,"""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis, MO","USA"
"362",345,"Bernardo Alberto","Houssay","1887-04-10","1971-09-21","Argentina","AR","Buenos Aires","Argentina","AR","Buenos Aires","male",1947,"medicine","",2,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""","Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine)","Buenos Aires","Argentina"
"363",346,"Paul Hermann","Müller","1899-01-12","1965-10-12","Switzerland","CH","Olten","Switzerland","CH","Basel","male",1948,"medicine","",1,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""","Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.)","Basel","Switzerland"
"364",347,"Walter Rudolf","Hess","1881-03-17","1973-08-12","Switzerland","CH","Frauenfeld","Switzerland","CH","Ascona","male",1949,"medicine","",2,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""","University of Zurich","Zurich","Switzerland"
"365",348,"Antonio Caetano de Abreu Freire Egas","Moniz","1874-11-29","1955-12-13","Portugal","PT","Avança","Portugal","PT","Lisbon","male",1949,"medicine","",2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""","University of Lisbon","Lisbon","Portugal"
"366",348,"Antonio Caetano de Abreu Freire Egas","Moniz","1874-11-29","1955-12-13","Portugal","PT","Avança","Portugal","PT","Lisbon","male",1949,"medicine","",2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""","Neurological Institute","Lisbon","Portugal"
"367",349,"Edward Calvin","Kendall","1886-03-08","1972-05-04","USA","US","South Norwalk, CT","USA","US","Princeton, NJ","male",1950,"medicine","",3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""","Mayo Clinic","Rochester, MN","USA"
"368",350,"Tadeus","Reichstein","1897-07-20","1996-08-01","Poland","PL","Wloclawek","Switzerland","CH","Basel","male",1950,"medicine","",3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""","Basel University","Basel","Switzerland"
"369",351,"Philip Showalter","Hench","1896-02-28","1965-03-30","USA","US","Pittsburgh, PA","Jamaica","JM","Ocho Rios","male",1950,"medicine","",3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""","Mayo Clinic","Rochester, MN","USA"
"370",352,"Max","Theiler","1899-01-30","1972-08-11","South Africa","ZA","Pretoria","USA","US","New Haven, CT","male",1951,"medicine","",1,"""for his discoveries concerning yellow fever and how to combat it""","Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY","USA"
"371",353,"Selman Abraham","Waksman","1888-07-22","1973-08-16","Russian Empire (now Ukraine)","UA","Priluka (now Nova Pryluka)","USA","US","Hyannis, MA","male",1952,"medicine","",1,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""","Rutgers University","New Brunswick, NJ","USA"
"372",354,"Hans Adolf","Krebs","1900-08-25","1981-11-22","Germany","DE","Hildesheim","United Kingdom","UK","Oxford","male",1953,"medicine","",2,"""for his discovery of the citric acid cycle""","Sheffield University","Sheffield","United Kingdom"
"373",355,"Fritz Albert","Lipmann","1899-06-12","1986-07-24","Germany (now Russia)","RU","Koenigsberg (now Kaliningrad)","USA","US","Poughkeepsie, NY","male",1953,"medicine","",2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""","Harvard Medical School","Boston, MA","USA"
"374",355,"Fritz Albert","Lipmann","1899-06-12","1986-07-24","Germany (now Russia)","RU","Koenigsberg (now Kaliningrad)","USA","US","Poughkeepsie, NY","male",1953,"medicine","",2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""","Massachusetts General Hospital","Boston, MA","USA"
"375",356,"John Franklin","Enders","1897-02-10","1985-09-08","USA","US","West Hartford, CT","USA","US","Waterford, CT","male",1954,"medicine","",3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Harvard Medical School","Boston, MA","USA"
"376",356,"John Franklin","Enders","1897-02-10","1985-09-08","USA","US","West Hartford, CT","USA","US","Waterford, CT","male",1954,"medicine","",3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","USA"
"377",357,"Thomas Huckle","Weller","1915-06-15","2008-08-23","USA","US","Ann Arbor, MI","USA","US","Needham, MA","male",1954,"medicine","",3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","USA"
"378",358,"Frederick Chapman","Robbins","1916-08-25","2003-08-04","USA","US","Auburn, AL","USA","US","Cleveland, OH","male",1954,"medicine","",3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Western Reserve University","Cleveland, OH","USA"
"379",359,"Axel Hugo Theodor","Theorell","1903-07-06","1982-08-15","Sweden","SE","Linköping","Sweden","SE","Stockholm","male",1955,"medicine","",1,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""","Karolinska Institutet, Nobel Medical Institute","Stockholm","Sweden"
"380",360,"André Frédéric","Cournand","1895-09-24","1988-02-19","France","FR","Paris","USA","US","Great Barrington, MA","male",1956,"medicine","",3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY","USA"
"381",361,"Werner","Forssmann","1904-08-29","1979-06-01","Germany","DE","Berlin","West Germany (now Germany)","","Schopfheim","male",1956,"medicine","",3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Mainz University","Mainz","Federal Republic of Germany"
"382",361,"Werner","Forssmann","1904-08-29","1979-06-01","Germany","DE","Berlin","West Germany (now Germany)","","Schopfheim","male",1956,"medicine","",3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","","Bad Kreuznach","Federal Republic of Germany"
"383",362,"Dickinson W.","Richards","1895-10-30","1973-02-23","USA","US","Orange, NJ","USA","US","Lakeville, CT","male",1956,"medicine","",3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University","New York, NY","USA"
"384",363,"Daniel","Bovet","1907-03-23","1992-04-08","Switzerland","CH","Neuchâtel","Italy","IT","Rome","male",1957,"medicine","",1,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""","Istituto Superiore di Sanità (Chief Institute of Public Health)","Rome","Italy"
"385",364,"George Wells","Beadle","1903-10-22","1989-06-09","USA","US","Wahoo, NE","USA","US","Pomona, CF","male",1958,"medicine","",4,"""for their discovery that genes act by regulating definite chemical events""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"386",365,"Edward Lawrie","Tatum","1909-12-14","1975-11-05","USA","US","Boulder, CO","USA","US","New York, NY","male",1958,"medicine","",4,"""for their discovery that genes act by regulating definite chemical events""","Rockefeller Institute for Medical Research","New York, NY","USA"
"387",366,"Joshua","Lederberg","1925-05-23","2008-02-02","USA","US","Montclair, NJ","USA","US","New York, NY","male",1958,"medicine","",2,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""","University of Wisconsin","Madison, WI","USA"
"388",367,"Severo","Ochoa","1905-09-24","1993-11-01","Spain","ES","Luarca","Spain","ES","Madrid","male",1959,"medicine","",2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""","New York University, College of Medicine","New York, NY","USA"
"389",368,"Arthur","Kornberg","1918-03-03","2007-10-26","USA","US","Brooklyn, NY","USA","US","Stanford, CA","male",1959,"medicine","",2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""","Stanford University","Stanford, CA","USA"
"390",369,"Sir Frank Macfarlane","Burnet","1899-09-03","1985-08-31","Australia","AU","Traralgon","Australia","AU","Melbourne","male",1960,"medicine","",2,"""for discovery of acquired immunological tolerance""","Walter and Eliza Hall Institute for Medical Research","Melbourne","Australia"
"391",370,"Peter Brian","Medawar","1915-02-28","1987-10-02","Brazil","BR","Rio de Janeiro","United Kingdom","UK","London","male",1960,"medicine","",2,"""for discovery of acquired immunological tolerance""","University College","London","United Kingdom"
"392",371,"Georg","von Békésy","1899-06-03","1972-06-13","Hungary","HU","Budapest","USA","US","Honolulu, HI","male",1961,"medicine","",1,"""for his discoveries of the physical mechanism of stimulation within the cochlea""","Harvard University","Cambridge, MA","USA"
"393",372,"Francis Harry Compton","Crick","1916-06-08","2004-07-28","United Kingdom","UK","Northampton","USA","US","San Diego, CA","male",1962,"medicine","",3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom"
"394",373,"James Dewey","Watson","1928-04-06","0000-00-00","USA","US","Chicago, IL","","","","male",1962,"medicine","",3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","Harvard University","Cambridge, MA","USA"
"395",374,"Maurice Hugh Frederick","Wilkins","1916-12-15","2004-10-05","New Zealand","NZ","Pongaroa","United Kingdom","UK","London","male",1962,"medicine","",3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","London University","London","United Kingdom"
"396",375,"Sir John Carew","Eccles","1903-01-27","1997-05-02","Australia","AU","Melbourne","Switzerland","CH","Contra","male",1963,"medicine","",3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""","Australian National University","Canberra","Australia"
"397",376,"Alan Lloyd","Hodgkin","1914-02-05","1998-12-20","United Kingdom","UK","Banbury","United Kingdom","UK","Cambridge","male",1963,"medicine","",3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""","University of Cambridge","Cambridge","United Kingdom"
"398",377,"Andrew Fielding","Huxley","1917-11-22","2012-05-30","United Kingdom","UK","Hampstead","United Kingdom","UK","Grantchester","male",1963,"medicine","",3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""","University College","London","United Kingdom"
"399",378,"Konrad","Bloch","1912-01-21","2000-10-15","Germany (now Poland)","PL","Neisse (now Nysa)","USA","US","Burlington, MA","male",1964,"medicine","",2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""","Harvard University","Cambridge, MA","USA"
"400",379,"Feodor","Lynen","1911-04-06","1979-08-06","Germany","DE","Munich","Germany","DE","Munich","male",1964,"medicine","",2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""","Max-Planck-Institut für Zellchemie","Munich","Federal Republic of Germany"
"401",380,"François","Jacob","1920-06-17","2013-04-19","France","FR","Nancy","France","FR","Paris","male",1965,"medicine","",3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France"
"402",381,"André","Lwoff","1902-05-08","1994-09-30","France","FR","Ainay-le-Château","France","FR","Paris","male",1965,"medicine","",3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France"
"403",382,"Jacques","Monod","1910-02-09","1976-05-31","France","FR","Paris","France","FR","Cannes","male",1965,"medicine","",3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""","Institut Pasteur","Paris","France"
"404",383,"Peyton","Rous","1879-10-05","1972-02-16","USA","US","Baltimore, MD","USA","US","New York, NY","male",1966,"medicine","",2,"""for his discovery of tumour-inducing viruses""","Rockefeller University","New York, NY","USA"
"405",384,"Charles Brenton","Huggins","1901-09-22","1997-01-12","Canada","CA","Halifax","USA","US","Chicago, IL","male",1966,"medicine","",2,"""for his discoveries concerning hormonal treatment of prostatic cancer""","University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL","USA"
"406",385,"Ragnar","Granit","1900-10-30","1991-03-12","Russian Empire (now Finland)","FI","Helsinki","Sweden","SE","Stockholm","male",1967,"medicine","",3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Karolinska Institutet","Stockholm","Sweden"
"407",386,"Haldan Keffer","Hartline","1903-12-22","1983-03-17","USA","US","Bloomsburg, PA","USA","US","Fallston, MD","male",1967,"medicine","",3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Rockefeller University","New York, NY","USA"
"408",387,"George","Wald","1906-11-18","1997-04-12","USA","US","New York, NY","USA","US","Cambridge, MA","male",1967,"medicine","",3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Harvard University","Cambridge, MA","USA"
"409",388,"Robert W.","Holley","1922-01-28","1993-02-11","USA","US","Urbana, IL","USA","US","Los Gatos, CA","male",1968,"medicine","",3,"""for their interpretation of the genetic code and its function in protein synthesis""","Cornell University","Ithaca, NY","USA"
"410",389,"Har Gobind","Khorana","1922-01-09","2011-11-09","India","IN","Raipur","USA","US","Concord, MA","male",1968,"medicine","",3,"""for their interpretation of the genetic code and its function in protein synthesis""","University of Wisconsin","Madison, WI","USA"
"411",390,"Marshall W.","Nirenberg","1927-04-10","2010-01-15","USA","US","New York, NY","USA","US","New York, NY","male",1968,"medicine","",3,"""for their interpretation of the genetic code and its function in protein synthesis""","National Institutes of Health","Bethesda, MD","USA"
"412",391,"Max","Delbrück","1906-09-04","1981-03-09","Germany","DE","Berlin","USA","US","Pasadena, CA","male",1969,"medicine","",3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"413",392,"Alfred D.","Hershey","1908-12-04","1997-05-22","USA","US","Owosso, MI","USA","US","Syosset, NY","male",1969,"medicine","",3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","Carnegie Institution of Washington","Long Island, New York, NY","USA"
"414",393,"Salvador E.","Luria","1912-08-13","1991-02-06","Italy","IT","Torino","USA","US","Lexington, MA","male",1969,"medicine","",3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA"
"415",394,"Sir Bernard","Katz","1911-03-26","2003-04-20","Germany","DE","Leipzig","United Kingdom","UK","London","male",1970,"medicine","",3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""","University College","London","United Kingdom"
